,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Category,Age_Category
28,459077,0,1,79,0,Lawyer,1.0,High,2.0,Cat_6,71-80
29,459079,1,1,87,1,Lawyer,1.0,High,2.0,Cat_6,81-90
30,459080,1,1,89,0,Lawyer,1.0,Low,2.0,Cat_6,81-90
31,459083,1,1,63,1,Artist,9.0,Average,3.0,Un_cat,61-70
32,459090,1,0,31,0,Artist,1.0,Low,2.0,Cat_6,31-40
33,459091,1,1,72,1,Artist,1.0,Average,6.0,Cat_1,71-80
34,459093,0,1,41,1,Doctor,9.0,Average,2.0,Un_cat,41-50
35,459100,0,0,61,1,Artist,11.0,Low,1.0,Cat_6,61-70
36,459106,1,1,62,1,Artist,0.0,Low,2.0,Cat_6,61-70
37,459114,1,1,56,1,Artist,1.0,Average,2.0,Cat_6,51-60
38,459116,1,1,60,1,Artist,2.0,Average,5.0,Cat_6,51-60
39,459117,1,1,68,1,Artist,0.0,High,2.0,Cat_6,61-70
40,459118,1,0,19,0,Healthcare,1.0,Low,8.0,Cat_6,18-30
41,459119,1,1,57,1,Executive,8.0,High,3.0,Cat_6,51-60
42,459120,1,0,19,0,Healthcare,3.0,Low,5.0,Cat_2,18-30
43,459121,0,1,51,1,Artist,3.0,Average,6.0,Cat_6,51-60
44,459123,0,1,86,0,Artist,1.0,High,2.0,Cat_6,81-90
45,459130,0,1,74,0,Lawyer,1.0,High,2.0,Cat_6,71-80
46,459132,1,0,23,0,Entertainment,6.0,Low,2.0,Cat_6,18-30
47,459136,1,1,47,1,Artist,0.0,Average,2.0,Cat_6,41-50
48,459140,0,0,19,0,Healthcare,3.0,Low,6.0,Cat_6,18-30
49,459143,1,1,50,0,Artist,0.0,High,4.0,Cat_6,41-50
50,459144,1,1,80,1,Lawyer,1.0,High,2.0,Cat_6,71-80
51,459145,1,1,78,0,Lawyer,1.0,Low,1.0,Cat_2,71-80
52,459150,0,0,48,1,Doctor,0.0,Low,1.0,Cat_6,41-50
53,459160,1,1,70,1,Doctor,1.0,Average,2.0,Cat_6,61-70
54,459161,1,1,50,1,Executive,3.0,High,5.0,Cat_6,41-50
55,459162,0,1,83,1,Lawyer,0.0,High,2.0,Cat_6,81-90
56,459163,1,0,35,1,Entertainment,0.0,Low,1.0,Cat_6,31-40
57,459167,0,0,36,1,Artist,0.0,Low,2.0,Cat_5,31-40
58,459170,0,0,35,1,Artist,1.0,Low,1.0,Cat_6,31-40
59,459171,1,1,35,1,Artist,0.0,Average,2.0,Cat_6,31-40
60,459172,1,0,18,0,Healthcare,2.0,Low,3.0,Cat_2,18-30
61,459175,0,1,73,1,Artist,1.0,Average,2.0,Cat_6,71-80
62,459181,1,1,62,0,Artist,1.0,High,3.0,Cat_6,61-70
63,459182,0,1,46,1,Artist,1.0,Average,2.0,Cat_6,41-50
64,459184,1,1,43,1,Entertainment,0.0,Low,4.0,Cat_4,41-50
65,459185,0,0,32,1,Entertainment,7.0,Low,1.0,Cat_6,31-40
66,459193,1,0,39,1,Artist,0.0,Low,1.0,Cat_6,31-40
67,459194,0,1,89,1,Lawyer,0.0,High,2.0,Cat_6,81-90
68,459196,0,0,18,0,Healthcare,0.0,Low,3.0,Cat_4,18-30
69,459208,0,1,57,1,Artist,0.0,High,2.0,Cat_3,51-60
70,459209,0,0,18,0,Entertainment,0.0,Low,4.0,Cat_6,18-30
71,459210,0,1,71,1,Artist,1.0,High,2.0,Cat_6,71-80
72,459212,0,1,69,1,Artist,0.0,Average,2.0,Cat_6,61-70
73,459213,0,0,42,1,Healthcare,0.0,Low,4.0,Cat_6,41-50
74,459216,0,0,36,1,Artist,0.0,Low,2.0,Cat_6,31-40
75,459220,0,1,80,1,Lawyer,1.0,High,2.0,Cat_6,71-80
76,459221,1,1,69,0,Entertainment,1.0,Low,1.0,Cat_6,61-70
77,459222,0,1,67,1,Artist,0.0,Average,3.0,Cat_6,61-70
78,459223,0,1,47,1,Doctor,1.0,Average,4.0,Cat_6,41-50
79,459224,0,1,49,1,Artist,0.0,Average,2.0,Cat_6,41-50
80,459227,0,1,32,0,Engineer,9.0,Low,4.0,Cat_6,31-40
81,459229,0,1,65,1,Lawyer,1.0,Average,4.0,Cat_6,61-70
82,459236,0,1,78,0,Lawyer,0.0,High,2.0,Cat_6,71-80
83,459237,1,0,33,1,Artist,1.0,Low,6.0,Cat_6,31-40
84,459244,1,1,48,1,Artist,1.0,Low,1.0,Cat_6,41-50
85,459247,1,1,58,1,Executive,1.0,Average,5.0,Cat_6,51-60
86,459258,0,1,83,1,Lawyer,1.0,High,2.0,Cat_6,81-90
87,459263,0,0,30,0,Healthcare,9.0,Low,4.0,Cat_6,18-30
88,459264,0,0,35,1,Artist,0.0,Low,2.0,Cat_6,31-40
89,459266,1,0,32,1,Healthcare,6.0,Low,5.0,Cat_6,31-40
90,459270,1,1,69,1,Homemaker,1.0,High,2.0,Cat_6,61-70
91,459284,0,1,71,1,Lawyer,1.0,High,2.0,Cat_6,71-80
92,459287,1,0,43,1,Lawyer,0.0,Low,1.0,Cat_4,41-50
93,459288,1,1,37,1,Artist,0.0,Low,2.0,Cat_6,31-40
94,459289,1,0,42,1,Doctor,0.0,Low,1.0,Cat_6,41-50
95,459290,0,1,70,1,Doctor,1.0,Average,2.0,Cat_6,61-70
96,459292,1,0,46,1,Artist,0.0,Low,2.0,Cat_6,41-50
97,459293,1,0,21,0,Healthcare,1.0,Low,2.0,Cat_1,18-30
98,459296,1,1,70,1,Artist,0.0,Average,2.0,Cat_6,61-70
99,459300,0,1,61,1,Artist,1.0,Low,2.0,Cat_6,61-70
100,459307,1,1,60,1,Entertainment,1.0,Low,1.0,Cat_6,51-60
101,459310,1,0,37,1,Entertainment,0.0,Low,2.0,Cat_2,31-40
102,459316,1,1,30,1,Healthcare,1.0,Low,2.0,Cat_6,18-30
103,459318,0,0,32,1,Engineer,1.0,Low,3.0,Cat_6,31-40
104,459320,1,1,26,1,Executive,0.0,Low,3.0,Cat_6,18-30
105,459322,1,0,42,1,Marketing,0.0,Low,1.0,Cat_6,41-50
106,459323,0,0,18,0,Doctor,1.0,Low,2.0,Cat_6,18-30
107,459338,1,1,80,0,Executive,1.0,Low,2.0,Cat_6,71-80
108,459339,1,1,29,1,Healthcare,8.0,High,2.0,Cat_6,18-30
109,459344,0,1,88,1,Artist,1.0,High,2.0,Cat_6,81-90
110,459347,1,1,70,1,Lawyer,1.0,Low,1.0,Cat_6,61-70
111,459349,0,1,50,1,Artist,1.0,High,4.0,Cat_6,41-50
112,459352,1,1,43,1,Doctor,4.0,Average,4.0,Cat_3,41-50
113,459353,1,1,51,1,Artist,6.0,Average,2.0,Cat_6,51-60
114,459354,0,1,50,1,Artist,1.0,High,3.0,Cat_6,41-50
115,459355,0,1,74,0,Homemaker,1.0,Low,1.0,Cat_6,71-80
116,459360,0,0,29,1,Healthcare,1.0,Low,3.0,Cat_6,18-30
117,459361,0,0,32,1,Engineer,1.0,Low,2.0,Cat_6,31-40
118,459362,1,1,60,0,Executive,0.0,Low,2.0,Cat_6,51-60
119,459363,1,0,46,1,Artist,2.0,Low,1.0,Cat_6,41-50
120,459364,0,1,81,1,Marketing,0.0,Low,2.0,Cat_6,81-90
121,459369,1,1,41,0,Engineer,1.0,Average,7.0,Cat_4,41-50
122,459375,1,1,22,0,Executive,0.0,High,4.0,Cat_6,18-30
123,459377,1,1,37,1,Artist,0.0,Average,3.0,Cat_6,31-40
124,459383,1,1,43,0,Engineer,0.0,Low,1.0,Cat_6,41-50
125,459384,1,1,50,1,Artist,1.0,Average,3.0,Cat_6,41-50
126,459385,0,1,35,1,Artist,1.0,Average,2.0,Cat_7,31-40
127,459386,1,1,65,0,Lawyer,1.0,High,2.0,Cat_6,61-70
128,459391,0,0,41,1,Engineer,0.0,Low,4.0,Cat_6,41-50
129,459394,1,0,28,0,Entertainment,8.0,Low,2.0,Cat_6,18-30
130,459397,1,1,55,1,Artist,4.0,Average,2.0,Cat_6,51-60
131,459398,0,1,58,0,Lawyer,1.0,High,2.0,Cat_6,51-60
132,459401,1,0,28,0,Healthcare,1.0,Low,3.0,Un_cat,18-30
133,459403,1,1,48,1,Artist,1.0,Average,4.0,Cat_7,41-50
134,459405,0,1,78,0,Doctor,1.0,High,2.0,Cat_6,71-80
135,459407,0,0,35,1,Doctor,1.0,Low,3.0,Cat_6,31-40
136,459409,0,1,76,1,Lawyer,0.0,High,2.0,Cat_6,71-80
137,459410,0,1,88,1,Lawyer,1.0,High,2.0,Cat_6,81-90
138,459412,1,1,61,1,Other,1.0,Average,3.0,Cat_6,61-70
139,459413,0,1,79,1,Artist,1.0,High,2.0,Cat_6,71-80
140,459415,1,0,30,0,Doctor,0.0,Low,4.0,Cat_6,18-30
141,459418,1,1,69,0,Executive,0.0,High,2.0,Cat_6,61-70
142,459419,1,1,65,1,Doctor,1.0,Average,2.0,Cat_6,61-70
143,459420,0,1,70,1,Lawyer,1.0,Low,2.0,Cat_6,61-70
144,459421,1,1,32,0,Healthcare,0.0,Average,4.0,Cat_6,31-40
145,459422,1,1,46,1,Entertainment,1.0,Low,4.0,Cat_6,41-50
146,459423,1,0,21,0,Healthcare,8.0,Low,5.0,Cat_6,18-30
147,459424,1,1,47,1,Doctor,1.0,Low,3.0,Cat_6,41-50
148,459428,0,0,39,0,Marketing,0.0,Low,2.0,Cat_4,31-40
149,459432,1,1,85,1,Lawyer,0.0,Low,3.0,Cat_6,81-90
150,459436,0,0,66,1,Artist,0.0,Low,2.0,Cat_6,61-70
151,459439,0,1,50,1,Artist,1.0,Average,2.0,Cat_6,41-50
152,459445,0,1,42,1,Artist,0.0,Average,3.0,Cat_6,41-50
153,459447,1,1,53,1,Artist,9.0,Low,1.0,Cat_6,51-60
154,459449,1,1,37,1,Artist,1.0,Low,2.0,Cat_6,31-40
155,459451,0,1,45,1,Artist,1.0,Low,2.0,Cat_6,41-50
156,459456,0,0,66,0,Lawyer,1.0,Low,1.0,Cat_6,61-70
157,459458,1,0,33,0,Marketing,1.0,Low,2.0,Cat_6,31-40
158,459459,1,1,40,1,Artist,4.0,Low,1.0,Cat_6,31-40
159,459461,0,1,35,1,Artist,1.0,Low,1.0,Cat_1,31-40
160,459464,1,0,27,1,Artist,1.0,Low,2.0,Cat_6,18-30
161,459466,0,1,48,1,Artist,0.0,Average,3.0,Cat_4,41-50
162,459467,0,1,56,1,Artist,0.0,Average,2.0,Cat_6,51-60
163,459469,1,1,25,1,Healthcare,1.0,Low,6.0,Cat_6,18-30
164,459471,0,0,30,0,Artist,1.0,Low,8.0,Cat_6,18-30
165,459480,0,1,46,1,Entertainment,7.0,Low,3.0,Cat_6,41-50
166,459481,1,1,49,0,Lawyer,0.0,Low,2.0,Cat_6,41-50
167,459482,1,1,72,0,Marketing,1.0,Low,4.0,Cat_6,71-80
168,459485,0,1,79,1,Lawyer,1.0,High,2.0,Cat_6,71-80
169,459496,0,0,35,1,Artist,1.0,Low,3.0,Cat_6,31-40
170,459497,0,1,77,1,Lawyer,0.0,Low,1.0,Cat_6,71-80
171,459499,0,1,79,0,Lawyer,1.0,High,2.0,Cat_6,71-80
172,459503,1,1,42,1,Healthcare,6.0,High,4.0,Cat_6,41-50
173,459505,0,0,42,1,Engineer,1.0,Low,1.0,Cat_6,41-50
174,459507,1,1,67,0,Lawyer,1.0,High,2.0,Cat_1,61-70
175,459509,1,0,26,1,Healthcare,1.0,Low,1.0,Cat_6,18-30
176,459512,1,1,67,1,Lawyer,1.0,High,2.0,Cat_6,61-70
177,459515,1,1,55,1,Engineer,1.0,Low,1.0,Cat_6,51-60
178,459516,0,1,56,1,Artist,1.0,Average,2.0,Cat_6,51-60
180,459535,1,1,46,1,Artist,8.0,Average,2.0,Cat_6,41-50
181,459536,1,1,32,1,Healthcare,7.0,Low,2.0,Cat_6,31-40
182,459538,0,0,49,1,Homemaker,13.0,Low,1.0,Cat_6,41-50
183,459541,1,1,59,1,Artist,1.0,High,2.0,Cat_6,51-60
184,459549,1,0,22,0,Healthcare,8.0,Low,5.0,Cat_4,18-30
185,459555,0,0,28,1,Artist,8.0,Low,1.0,Cat_6,18-30
186,459558,1,0,28,1,Entertainment,1.0,Low,3.0,Cat_6,18-30
187,459564,1,1,75,1,Lawyer,2.0,Low,1.0,Cat_6,71-80
188,459566,0,1,37,1,Artist,13.0,Low,2.0,Cat_6,31-40
189,459567,1,1,50,1,Doctor,0.0,Average,2.0,Cat_6,41-50
190,459571,0,1,50,1,Executive,1.0,High,4.0,Cat_6,41-50
191,459576,0,1,88,0,Lawyer,1.0,Low,2.0,Un_cat,81-90
192,459579,0,1,35,1,Artist,3.0,Average,5.0,Cat_4,31-40
193,459581,0,0,35,0,Other,1.0,Low,2.0,Cat_7,31-40
194,459582,1,1,31,0,Entertainment,1.0,Average,3.0,Cat_6,31-40
195,459583,1,1,46,1,Artist,0.0,Low,1.0,Cat_6,41-50
196,459585,0,1,50,1,Artist,1.0,Average,4.0,Cat_6,41-50
197,459587,0,0,33,1,Artist,7.0,Low,3.0,Cat_6,31-40
198,459588,1,1,49,1,Artist,0.0,Low,1.0,Cat_6,41-50
199,459591,1,1,52,1,Artist,1.0,Average,3.0,Cat_6,51-60
200,459592,1,0,25,0,Healthcare,0.0,Low,3.0,Cat_6,18-30
201,459594,0,1,41,1,Artist,6.0,Low,1.0,Cat_6,41-50
202,459597,0,1,68,1,Artist,0.0,High,2.0,Cat_6,61-70
203,459603,0,1,79,0,Lawyer,2.0,High,2.0,Cat_6,71-80
204,459607,1,1,40,1,Entertainment,5.0,Average,5.0,Cat_6,31-40
205,459608,0,0,62,1,Doctor,1.0,Low,1.0,Cat_6,61-70
206,459612,1,0,21,0,Healthcare,1.0,Low,2.0,Cat_6,18-30
207,459616,0,0,20,0,Healthcare,1.0,Low,4.0,Cat_1,18-30
208,459617,1,0,28,1,Entertainment,1.0,Low,5.0,Cat_6,18-30
209,459618,1,1,57,1,Doctor,0.0,Average,2.0,Cat_4,51-60
210,459621,0,0,25,0,Healthcare,8.0,Low,2.0,Un_cat,18-30
211,459625,0,1,63,0,Engineer,8.0,Low,1.0,Cat_6,61-70
212,459626,0,1,26,0,Entertainment,1.0,Low,3.0,Cat_6,18-30
213,459632,0,1,50,0,Marketing,0.0,High,3.0,Cat_4,41-50
214,459644,0,0,30,0,Marketing,9.0,Low,4.0,Cat_2,18-30
215,459652,0,0,26,0,Engineer,1.0,Low,4.0,Cat_4,18-30
216,459658,1,1,61,1,Artist,1.0,Average,3.0,Cat_6,61-70
217,459664,1,0,42,1,Artist,3.0,Low,1.0,Cat_6,41-50
218,459665,1,1,88,1,Artist,4.0,Low,2.0,Cat_6,81-90
219,459672,1,1,45,0,Artist,3.0,Average,3.0,Cat_6,41-50
220,459673,0,1,86,1,Lawyer,1.0,Low,1.0,Cat_6,81-90
221,459678,1,0,18,0,Healthcare,1.0,Low,5.0,Cat_6,18-30
222,459680,1,0,37,1,Entertainment,1.0,Low,1.0,Cat_6,31-40
223,459686,1,1,46,1,Artist,1.0,Low,1.0,Cat_6,41-50
224,459691,1,1,58,0,Artist,1.0,Average,2.0,Cat_6,51-60
225,459692,0,1,72,1,Lawyer,8.0,High,2.0,Cat_6,71-80
226,459693,0,1,50,1,Artist,0.0,High,3.0,Un_cat,41-50
227,459699,0,1,56,1,Engineer,8.0,Average,3.0,Cat_6,51-60
228,459701,1,0,46,0,Artist,3.0,Low,3.0,Cat_5,41-50
229,459710,1,1,57,1,Artist,1.0,Low,1.0,Cat_6,51-60
230,459711,1,1,42,0,Executive,9.0,High,6.0,Cat_6,41-50
231,459712,1,0,20,0,Healthcare,1.0,Low,4.0,Cat_6,18-30
232,459713,1,0,19,0,Healthcare,1.0,Low,3.0,Cat_6,18-30
233,459715,1,0,19,0,Healthcare,3.0,Low,4.0,Cat_6,18-30
234,459718,1,1,68,1,Executive,1.0,Low,1.0,Cat_6,61-70
235,459725,0,1,40,1,Artist,0.0,Low,2.0,Cat_6,31-40
236,459727,1,1,82,0,Lawyer,1.0,High,2.0,Cat_6,81-90
237,459740,0,0,23,0,Healthcare,1.0,Low,3.0,Cat_6,18-30
238,459742,0,1,84,0,Lawyer,1.0,High,2.0,Cat_6,81-90
239,459745,1,1,51,0,Artist,0.0,Low,4.0,Cat_1,51-60
240,459746,1,1,59,1,Artist,1.0,Average,2.0,Cat_6,51-60
241,459747,0,1,41,1,Artist,1.0,Average,5.0,Cat_6,41-50
242,459748,1,1,51,0,Executive,1.0,High,2.0,Cat_6,51-60
243,459755,0,1,62,0,Artist,1.0,Average,3.0,Cat_6,61-70
244,459756,0,1,62,0,Lawyer,1.0,High,4.0,Cat_4,61-70
245,459760,0,1,38,1,Artist,8.0,Low,1.0,Cat_6,31-40
246,459763,1,0,18,0,Artist,1.0,Low,4.0,Cat_4,18-30
247,459767,1,0,22,0,Healthcare,3.0,Low,4.0,Cat_6,18-30
248,459771,0,0,30,1,Doctor,0.0,Low,3.0,Cat_3,18-30
249,459779,0,1,62,1,Entertainment,1.0,Low,1.0,Cat_6,61-70
250,459780,0,0,43,0,Entertainment,1.0,Low,3.0,Cat_6,41-50
251,459785,0,0,32,1,Engineer,1.0,Low,1.0,Cat_3,31-40
252,459793,1,1,37,1,Artist,1.0,High,2.0,Cat_6,31-40
253,459795,1,0,48,1,Artist,1.0,Low,1.0,Cat_6,41-50
254,459801,0,0,31,1,Engineer,4.0,Low,2.0,Cat_6,31-40
255,459804,1,1,46,0,Artist,4.0,High,4.0,Cat_6,41-50
256,459806,0,1,49,0,Engineer,1.0,Average,4.0,Cat_6,41-50
257,459808,1,1,43,0,Doctor,1.0,Average,4.0,Cat_6,41-50
258,459815,1,0,42,1,Artist,8.0,Low,1.0,Cat_6,41-50
259,459816,1,1,37,1,Doctor,1.0,Low,2.0,Cat_6,31-40
260,459819,1,1,72,1,Entertainment,1.0,High,2.0,Cat_6,71-80
261,459821,1,1,71,0,Executive,1.0,High,1.0,Un_cat,71-80
262,459822,0,0,39,1,Engineer,1.0,Low,1.0,Cat_4,31-40
263,459825,1,0,20,0,Healthcare,0.0,Low,5.0,Cat_2,18-30
264,459827,0,0,26,0,Other,1.0,Low,1.0,Cat_7,18-30
265,459832,1,1,72,1,Executive,1.0,Low,1.0,Cat_6,71-80
266,459845,1,1,70,1,Healthcare,0.0,Low,1.0,Cat_4,61-70
267,459851,1,0,45,1,Artist,2.0,Low,1.0,Cat_6,41-50
268,459853,1,0,33,0,Executive,7.0,Low,5.0,Cat_6,31-40
269,459856,1,1,50,0,Entertainment,0.0,Average,3.0,Cat_6,41-50
270,459857,1,0,31,1,Entertainment,6.0,Low,1.0,Cat_6,31-40
271,459861,0,1,74,0,Lawyer,1.0,High,2.0,Cat_6,71-80
272,459864,0,1,68,0,Artist,1.0,High,2.0,Cat_6,61-70
273,459866,0,0,49,1,Artist,1.0,Low,1.0,Cat_6,41-50
274,459867,1,1,49,1,Marketing,0.0,High,2.0,Cat_6,41-50
275,459869,0,0,18,0,Healthcare,1.0,Low,3.0,Cat_6,18-30
276,459871,0,1,85,0,Entertainment,2.0,Average,2.0,Cat_6,81-90
277,459885,0,0,38,1,Entertainment,1.0,Low,4.0,Cat_6,31-40
278,459886,1,1,28,0,Artist,0.0,Low,4.0,Cat_6,18-30
279,459887,1,1,46,0,Artist,3.0,Average,2.0,Un_cat,41-50
280,459889,1,1,59,1,Homemaker,9.0,Average,3.0,Cat_6,51-60
281,459897,0,1,56,1,Artist,0.0,Low,2.0,Cat_6,51-60
282,459909,1,1,69,1,Artist,0.0,Low,1.0,Cat_6,61-70
283,459910,1,1,66,1,Artist,0.0,Low,2.0,Cat_6,61-70
284,459911,1,0,18,0,Healthcare,2.0,Low,6.0,Cat_2,18-30
285,459914,1,0,36,1,Artist,4.0,Low,1.0,Cat_4,31-40
286,459923,1,0,31,1,Marketing,1.0,Low,2.0,Cat_3,31-40
287,459925,1,1,67,0,Executive,1.0,High,2.0,Cat_4,61-70
288,459937,0,0,39,1,Artist,7.0,Low,1.0,Cat_6,31-40
289,459943,1,0,42,1,Entertainment,4.0,Low,3.0,Cat_6,41-50
290,459945,1,1,50,1,Artist,0.0,Low,2.0,Cat_6,41-50
291,459946,0,1,37,1,Artist,0.0,Average,2.0,Cat_6,31-40
292,459949,0,0,59,1,Artist,0.0,Low,1.0,Cat_6,51-60
293,459953,1,1,50,1,Artist,8.0,Low,2.0,Cat_6,41-50
294,459961,1,1,48,1,Artist,8.0,Low,3.0,Cat_2,41-50
295,459962,1,1,55,1,Artist,9.0,Low,1.0,Cat_6,51-60
296,459966,0,0,33,1,Doctor,1.0,Low,3.0,Cat_6,31-40
297,459968,1,0,38,1,Artist,13.0,Low,1.0,Cat_7,31-40
298,459970,1,0,43,1,Artist,0.0,Low,2.0,Cat_6,41-50
299,459973,0,0,53,1,Artist,0.0,Low,2.0,Cat_6,51-60
300,459974,1,0,37,1,Entertainment,0.0,Low,1.0,Cat_6,31-40
301,459975,0,0,36,1,Artist,5.0,Low,1.0,Cat_6,31-40
302,459981,1,0,36,1,Artist,5.0,Low,1.0,Cat_6,31-40
303,459986,1,1,62,1,Artist,1.0,Low,1.0,Cat_6,61-70
304,459995,0,0,38,0,Artist,2.0,Low,2.0,Cat_6,31-40
305,459996,1,0,55,1,Entertainment,1.0,Low,1.0,Cat_6,51-60
306,459998,1,1,60,0,Entertainment,1.0,Average,2.0,Cat_6,51-60
307,460004,0,1,36,1,Entertainment,7.0,Average,2.0,Cat_5,31-40
308,460006,1,0,30,0,Entertainment,5.0,Low,9.0,Cat_3,18-30
309,460014,0,0,66,0,Entertainment,4.0,Low,3.0,Cat_6,61-70
310,460023,1,1,45,1,Entertainment,1.0,Low,1.0,Cat_6,41-50
311,460027,0,0,40,1,Entertainment,6.0,Low,2.0,Cat_6,31-40
312,460033,0,1,45,1,Entertainment,5.0,Low,3.0,Cat_6,41-50
313,460036,1,1,41,1,Other,2.0,Low,1.0,Cat_6,41-50
314,460040,0,1,62,1,Homemaker,4.0,Low,1.0,Cat_5,61-70
315,460045,1,1,61,1,Artist,1.0,Low,2.0,Cat_6,61-70
316,460046,0,1,50,1,Artist,4.0,Low,2.0,Cat_6,41-50
317,460050,1,1,53,1,Entertainment,3.0,Low,2.0,Cat_6,51-60
318,460051,1,0,39,1,Artist,7.0,Low,1.0,Cat_6,31-40
319,460052,0,0,86,1,Lawyer,0.0,Low,1.0,Cat_3,81-90
320,460058,1,1,50,1,Artist,1.0,Low,1.0,Cat_4,41-50
321,460059,0,0,46,0,Entertainment,4.0,Low,2.0,Cat_4,41-50
322,460061,1,0,52,1,Marketing,0.0,Low,1.0,Cat_3,51-60
323,460066,0,0,45,0,Marketing,0.0,Low,1.0,Cat_6,41-50
324,460068,0,0,37,1,Artist,9.0,Low,1.0,Cat_6,31-40
325,460073,0,1,36,1,Engineer,3.0,Low,1.0,Cat_6,31-40
326,460075,0,0,25,1,Artist,1.0,Low,1.0,Cat_6,18-30
327,460079,0,0,40,0,Doctor,1.0,Low,1.0,Cat_6,31-40
328,460081,1,1,41,1,Artist,11.0,High,2.0,Cat_6,41-50
329,460088,0,1,25,1,Homemaker,1.0,High,2.0,Cat_6,18-30
330,460090,1,1,80,0,Lawyer,4.0,Average,2.0,Cat_6,71-80
331,460093,0,0,46,1,Artist,3.0,Low,1.0,Cat_3,41-50
332,460095,0,1,81,1,Lawyer,1.0,Low,1.0,Cat_6,81-90
333,460097,1,1,40,1,Artist,0.0,Low,2.0,Cat_3,31-40
334,460099,1,0,49,1,Other,1.0,Low,1.0,Cat_3,41-50
335,460101,0,0,26,1,Healthcare,8.0,Low,3.0,Cat_3,18-30
336,460103,1,0,26,1,Artist,1.0,Low,1.0,Cat_4,18-30
337,460105,0,0,47,1,Artist,0.0,Low,1.0,Cat_4,41-50
338,460106,0,1,71,1,Entertainment,0.0,Low,2.0,Cat_6,71-80
339,460107,1,1,48,1,Engineer,1.0,Average,5.0,Cat_6,41-50
340,460108,1,1,39,1,Artist,1.0,Average,3.0,Cat_2,31-40
341,460109,1,1,50,1,Artist,8.0,Average,2.0,Cat_6,41-50
342,460110,0,0,46,1,Artist,1.0,Low,2.0,Un_cat,41-50
343,460112,1,1,26,1,Engineer,8.0,Average,2.0,Cat_3,18-30
344,460116,0,1,42,1,Other,1.0,Low,2.0,Cat_6,41-50
345,460118,0,1,36,1,Artist,4.0,Low,2.0,Cat_6,31-40
346,460119,1,0,29,1,Healthcare,1.0,Low,4.0,Cat_6,18-30
347,460122,0,0,39,0,Artist,1.0,Low,1.0,Cat_6,31-40
348,460124,0,0,41,1,Artist,0.0,Low,3.0,Cat_6,41-50
349,460126,0,1,48,1,Marketing,8.0,Low,2.0,Cat_6,41-50
350,460134,1,1,40,1,Entertainment,9.0,High,3.0,Cat_6,31-40
351,460135,0,0,25,1,Healthcare,4.0,Low,3.0,Cat_6,18-30
352,460140,0,1,41,1,Artist,7.0,Low,2.0,Cat_6,41-50
353,460141,1,0,37,1,Artist,11.0,Low,1.0,Cat_6,31-40
354,460144,0,0,53,1,Doctor,0.0,Low,2.0,Cat_3,51-60
355,460146,0,1,51,1,Engineer,0.0,Average,3.0,Cat_3,51-60
356,460147,1,1,73,1,Entertainment,1.0,Average,3.0,Cat_6,71-80
357,460157,1,1,61,0,Other,1.0,Low,5.0,Cat_4,61-70
358,460160,1,0,39,1,Entertainment,5.0,Low,1.0,Cat_3,31-40
